"T_s","dp_Pa","T_K","p_inj_Pa","p_out_Pa"
0.0,2.141398123642882e7,353.15,3.929159471961318e7,1.787761348318436e7
1.8620689655172413e6,2.141398123642882e7,353.1500000000001,3.929159471961318e7,1.787761348318436e7
3.7241379310344825e6,2.198031046332196e7,353.1499999999993,3.985863237898658e7,1.787832191566462e7
5.5862068965517245e6,2.2178079246537067e7,353.1499999999998,4.00559423632206e7,1.7877863116683535e7
7.448275862068965e6,2.230124555320427e7,353.14999999999986,4.017855326389413e7,1.7877307710689865e7
9.310344827586208e6,2.2391453918526288e7,353.1499999999999,4.02681761673097e7,1.7876722248783413e7
1.1172413793103449e7,2.2462637782733005e7,353.1500000000011,4.0338758887551315e7,1.787612110481831e7
1.303448275862069e7,2.2521406226796377e7,353.15000000000043,4.039691633808385e7,1.787551011128747e7
1.489655172413793e7,2.2571439419728473e7,353.15000000000003,4.044633164265656e7,1.7874892222928084e7
1.6758620689655172e7,2.261499733589022e7,353.1500000000003,4.0489266464729756e7,1.7874269128839538e7
1.8620689655172415e7,2.2653566297025133e7,353.1500000000002,4.0527208177989036e7,1.7873641880963903e7
2.0482758620689657e7,2.2688175356305238e7,353.14999999999975,4.056118652912871e7,1.787301117282347e7
2.2344827586206898e7,2.2719566116511006e7,353.1500000000001,4.059194359869001e7,1.7872377482179005e7
2.420689655172414e7,2.2748290492408134e7,353.15000000000055,4.062003164528843e7,1.7871741152880296e7
2.606896551724138e7,2.2774770220145427e7,353.15000000000055,4.064587266025893e7,1.78711024401135e7
2.793103448275862e7,2.2799334756789755e7,353.1500000000007,4.066979629393216e7,1.7870461537142407e7
2.979310344827586e7,2.2822246329733774e7,353.15000000000055,4.069206492354167e7,1.78698185938079e7
3.1655172413793102e7,2.2843717036522493e7,353.15000000000015,4.071289076508233e7,1.7869173728559837e7
3.3517241379310343e7,2.286392083953659e7,353.15000000000003,4.073244787575911e7,1.786852703622252e7
3.5379310344827585e7,2.2883002175991982e7,353.14999999999947,4.075088077048294e7,1.786787859449096e7
3.724137931034483e7,2.2901082273111455e7,353.14999999999907,4.076831074085538e7,1.7867228467743926e7
3.910344827586207e7,2.2918263865148753e7,353.14999999999947,4.0784840573962756e7,1.7866576708814003e7
