"T_s","dp_Pa","T_K","p_inj_Pa","p_out_Pa"
0.0,1.9601275470455453e7,353.15,3.3913153453430794e7,1.4311877982975341e7
931034.4827586206,1.9601275470455453e7,353.1500000000088,3.3913153453430794e7,1.4311877982975341e7
1.8620689655172413e6,2.0120063926093746e7,353.1499999999785,3.442918206120445e7,1.4309118135110702e7
2.7931034482758623e6,2.03494245575514e7,353.14999999997366,3.465518268186528e7,1.4305758124313882e7
3.7241379310344825e6,2.047642657873039e7,353.1500000000052,3.477830599625178e7,1.4301879417521385e7
4.655172413793104e6,2.056187473485731e7,353.1500000000183,3.485957059845504e7,1.4297695863597732e7
5.5862068965517245e6,2.062712338100356e7,353.150000000031,3.492047993522869e7,1.4293356554225134e7
6.517241379310345e6,2.068072628821779e7,353.15000000002533,3.4969665275140725e7,1.4288938986922935e7
7.448275862068965e6,2.0726653648426462e7,353.1499999999648,3.501113258500077e7,1.4284478936574306e7
8.379310344827586e6,2.076703217073577e7,353.1499999999906,3.504702464977182e7,1.427999247903605e7
9.310344827586208e6,2.080315095421587e7,353.150000000011,3.507863778644025e7,1.4275486832224384e7
1.0241379310344828e7,2.0835869681074698e7,353.14999999993483,3.5106834882498994e7,1.4270965201424297e7
1.1172413793103449e7,2.0865802116123423e7,353.1499999999804,3.513223102776469e7,1.4266428911641268e7
1.210344827586207e7,2.0893407520432033e7,353.1499999999981,3.51552858879953e7,1.4261878367563272e7
1.303448275862069e7,2.091904093121465e7,353.14999999997576,3.517635444688172e7,1.425731351566707e7
1.396551724137931e7,2.0942983361708533e7,353.14999999999736,3.519571744527177e7,1.4252734083563235e7
1.489655172413793e7,2.0965460549859047e7,353.1500000000556,3.521360043111481e7,1.424813988125576e7
1.5827586206896551e7,2.0986657424205415e7,353.15000000004585,3.523018803849226e7,1.424353061428685e7
1.6758620689655172e7,2.1006727045465726e7,353.14999999998645,3.5245633039780475e7,1.4238905994314749e7
1.7689655172413792e7,2.1025797464140657e7,353.1499999999863,3.5260063231260985e7,1.4234265767120328e7
1.8620689655172415e7,2.1043976837921493e7,353.15000000001413,3.527358655395208e7,1.422960971603059e7
1.9551724137931034e7,2.106135730993098e7,353.1499999999727,3.528629497075179e7,1.422493766082081e7
2.0482758620689657e7,2.107801799122686e7,353.1500000000317,3.529826744687701e7,1.4220249455650153e7
2.1413793103448275e7,2.109402728362267e7,353.150000000055,3.530957226984253e7,1.4215544986219857e7
2.2344827586206898e7,2.1109444709818605e7,353.1500000000229,3.5320268876132056e7,1.421082416631345e7
2.3275862068965517e7,2.1124322369827934e7,353.15000000003624,3.533040930491321e7,1.4206086935085274e7
2.420689655172414e7,2.1138706111960374e7,353.150000000046,3.534003936519723e7,1.420133325323685e7
2.513793103448276e7,2.115263648241636e7,353.150000000031,3.534919958220033e7,1.4196563099783972e7
2.606896551724138e7,2.11661495017075e7,353.1500000000548,3.5357925970249675e7,1.4191776468542174e7
2.7e7,2.117927730473779e7,353.1499999999622,3.536625066963117e7,1.4186973364893377e7
2.97e7,2.1214231011840582e7,353.14999999998724,3.538710056586088e7,1.41728695540203e7
3.709565217391305e7,2.129541126028184e7,353.14999902586857,3.542966137205185e7,1.4134250111770013e7
4.4491304347826086e7,2.1368977034532823e7,353.149988823492,3.546379933539461e7,1.4094822300861789e7
5.188695652173913e7,2.143704246048064e7,353.1499317494056,3.549122213309861e7,1.4054179672617968e7
5.928260869565217e7,2.1501104595731664e7,353.1497061423794,3.551348775010382e7,1.4012383154372152e7
6.667826086956522e7,2.1562268650157124e7,353.14900117146385,3.553170896202713e7,1.396944031187001e7
7.407391304347827e7,2.162138744904542e7,353.147151574073,3.5546698848405406e7,1.3925311399359984e7
8.14695652173913e7,2.1679161547982343e7,353.1429215635029,3.55590647891852e7,1.3879903241202861e7
8.886521739130434e7,2.173621053901188e7,353.13427147614436,3.556926935931108e7,1.38330588202992e7
9.626086956521739e7,2.1793122868148368e7,353.1181610705484,3.5577670693423286e7,1.3784547825274918e7
1.0365652173913044e8,2.1850486851445295e7,353.09045017120474,3.558454985885217e7,1.3734063007406874e7
1.1105217391304348e8,2.1908905058100984e7,353.04594534524637,3.559013007992033e7,1.3681225021819348e7
1.1844782608695652e8,2.196899391839319e7,352.9786124179531,3.559459046902071e7,1.3625596550627518e7
1.2584347826086956e8,2.2031372273433626e7,352.88193739253387,3.559807629247017e7,1.3566704019036544e7
1.3323913043478261e8,2.2096643485728264e7,352.7493844749,3.56007069018915e7,1.3504063416163236e7
1.4063478260869566e8,2.21653755150694e7,352.57487949750254,3.560258194115826e7,1.3437206426088858e7
1.480304347826087e8,2.2238082425227016e7,352.3532450578169,3.56037860519265e7,1.3365703626699487e7
1.5542608695652175e8,2.2315210619935513e7,352.08052875309943,3.560439282988914e7,1.3289182209953627e7
1.6282173913043478e8,2.2397128957516544e7,351.75419177374334,3.5604467304778606e7,1.3207338347262064e7
1.702173913043478e8,2.2484124893582333e7,351.37315360843286,3.5604067988774434e7,1.31199430951921e7
1.7761304347826087e8,2.257640370730581e7,350.9377132024443,3.560324872097361e7,1.3026845013667798e7
1.850086956521739e8,2.267409007953304e7,350.44938086386134,3.5602058282250494e7,1.2927968202717451e7
1.9240434782608697e8,2.27772323208872e7,349.9106618428652,3.560054269201801e7,1.2823310371130811e7
1.998e8,2.288580526532329e7,349.3248273035615,3.55987438912961e7,1.2712938625972815e7
