"T_s","dp_Pa","T_K"
0.0,1.4392692552808203e7,353.15
6.517241379310345e6,1.4392692552808203e7,354.3379490733139
1.303448275862069e7,1.4796851128922999e7,354.3398706986312
1.9551724137931034e7,1.4926468969110597e7,354.339870867475
2.606896551724138e7,1.4998186406364493e7,354.33987086888663
3.2586206896551725e7,1.5049864685277594e7,354.3398708690357
3.910344827586207e7,1.5090945513127286e7,354.3398708690689
4.5620689655172415e7,1.5125085531357715e7,354.3398708690959
5.213793103448276e7,1.5154230874799293e7,354.3398708690361
5.86551724137931e7,1.5179601593194716e7,354.3398708691483
6.517241379310345e7,1.520202679427989e7,354.3398708690263
7.16896551724138e7,1.5222096922674067e7,354.33987086910605
7.820689655172414e7,1.524024655838786e7,354.3398708690099
8.472413793103448e7,1.525680401114367e7,354.33987086905483
9.124137931034483e7,1.5272022745537132e7,354.3398708690562
9.775862068965517e7,1.5286102091930758e7,354.33987086910344
1.0427586206896552e8,1.5299201332118202e7,354.3398708690882
1.1079310344827586e8,1.5311449514069602e7,354.33987086913737
1.173103448275862e8,1.5322952539274994e7,354.339870869117
1.2382758620689656e8,1.5333798272320235e7,354.3398708690247
1.303448275862069e8,1.5344060330862606e7,354.3398708689482
1.3686206896551725e8,1.535380095631266e7,354.33987086899236
1.433793103448276e8,1.536307320540453e7,354.33987086905813
1.4989655172413793e8,1.5371922645322382e7,354.3398708690518
1.5641379310344827e8,1.5380388680225275e7,354.33987086909957
1.629310344827586e8,1.538850559986307e7,354.3398708690758
1.6944827586206895e8,1.5396303417106971e7,354.3398708690239
1.7596551724137932e8,1.540380854259324e7,354.3398708690692
1.8248275862068966e8,1.5411044332838235e7,354.3398708690841
1.89e8,1.5418031539384631e7,354.33987086909667
2.079e8,1.543612262035609e7,354.3398708688301
2.4323478260869566e8,1.5465212309373649e7,354.33987061214884
2.785695652173913e8,1.5491498243735807e7,354.3398682613824
3.1390434782608694e8,1.5515488004159935e7,354.33985612313916
3.492391304347826e8,1.5537636067422938e7,354.339810377262
3.8457391304347825e8,1.5558294748380449e7,354.33967098975575
4.1990869565217394e8,1.5577742396356767e7,354.3393083156088
4.5524347826086956e8,1.5596204269526865e7,354.33847479734453
4.905782608695652e8,1.5613868578522881e7,354.33674356132576
5.259130434782609e8,1.5630898586621074e7,354.3334399478721
5.612478260869565e8,1.5647441634941986e7,354.32757596816964
5.965826086956521e8,1.5663636044518042e7,354.3178001333744
6.319173913043479e8,1.5679615953392748e7,354.3023751420785
6.672521739130435e8,1.5695514251518067e7,354.27919320447745
7.025869565217391e8,1.571146415336086e7,354.24583373496495
7.379217391304348e8,1.5727599282551289e7,354.1996617427661
7.732565217391304e8,1.5744053115143163e7,354.1379587871826
8.085913043478261e8,1.5760957427891586e7,354.0580731373907
8.439260869565217e8,1.5778441044522405e7,353.95757277568043
8.792608695652174e8,1.5796627858569352e7,353.83438451481607
9.14595652173913e8,1.581563530459194e7,353.6869047936468
9.499304347826087e8,1.583557279593141e7,353.5140720867393
9.852652173913044e8,1.585654018881113e7,353.3153963972889
1.0206e9,1.5878626657787636e7,353.0909471046645
1.0559347826086956e9,1.5901909651823765e7,352.84130526629883
1.0912695652173913e9,1.5926454326152766e7,352.56749000552855
1.126604347826087e9,1.5952312951423682e7,352.2708698775001
1.1619391304347825e9,1.5979525339237694e7,351.9530699541927
1.1972739130434783e9,1.600811906976749e7,351.615883525474
1.232608695652174e9,1.6038109670289744e7,351.26119451063784
1.2679434782608695e9,1.6069501713023666e7,350.8909142798299
1.3032782608695652e9,1.6102289431747705e7,350.5069339629405
1.3386130434782608e9,1.6136457093544276e7,350.1110913152856
1.3739478260869565e9,1.6171979370705474e7,349.7051501319105
1.4092826086956522e9,1.620882213971635e7,349.29078951140826
1.4446173913043478e9,1.624694240482479e7,348.8696005848283
1.4799521739130435e9,1.6286288136576261e7,348.4430876999457
1.5152869565217392e9,1.6326798604665652e7,348.01267218980627
1.5506217391304348e9,1.6368404396557072e7,347.5796971497364
1.5859565217391305e9,1.6411027352638826e7,347.14543190677335
1.621291304347826e9,1.6454580625611264e7,346.71107533615015
1.6566260869565217e9,1.6498969206697304e7,346.27775764000313
1.6919608695652175e9,1.654409035402729e7,345.84654068861306
1.727295652173913e9,1.6589834215957254e7,345.4184166942025
1.7626304347826087e9,1.6636084823364912e7,344.9943055851742
1.7979652173913043e9,1.6682721366674295e7,344.57505154366544
1.8333e9,1.672961949629606e7,344.1614192799435
1.8686347826086957e9,1.677665287811651e7,343.75409034681843
1.9039695652173913e9,1.6823694820268154e7,343.3536600688989
1.939304347826087e9,1.6870620105925307e7,342.96063540330783
1.9746391304347825e9,1.6917306673094995e7,342.5754345308755
2.0099739130434783e9,1.6963637224174373e7,342.1983880815857
2.045308695652174e9,1.7009492659996666e7,341.8298348539896
2.0806434782608695e9,1.705475508308643e7,341.47000798162156
2.1159782608695652e9,1.709934100918316e7,341.118783453457
2.151313043478261e9,1.7143169863758825e7,340.77614323678034
2.1866478260869565e9,1.7186167588859495e7,340.44207009894484
2.221982608695652e9,1.7228269671692736e7,340.11649698048535
2.257317391304348e9,1.726942200700739e7,339.7993056242407
2.2926521739130435e9,1.730958086003404e7,339.490338362542
2.327986956521739e9,1.7348712400756963e7,339.1894104717253
2.363321739130435e9,1.7386792095245928e7,338.8963204118352
2.3986565217391305e9,1.7423803945172776e7,338.61085819048793
2.433991304347826e9,1.745973968279001e7,338.33281207090454
2.4693260869565215e9,1.7494597932587456e7,338.0619739352395
2.5046608695652175e9,1.7528383340279646e7,337.79814343943826
2.539995652173913e9,1.756110572301212e7,337.54113102026787
2.5753304347826085e9,1.7592779249314267e7,337.2907598569761
2.6106652173913045e9,1.762342165429242e7,337.0468668914389
2.646e9,1.7653053528069407e7,336.8093029818051
