Top_tvd_m,Basis_tvd_m,Bruto_dikte_m,Netto_dikte_m,Klei_Volume_percent,Porositeitsmodel,Porositeit,Perm_arith,Perm_geom,Perm_harm
3299.99,3410.48,110.49,81.45,28.7,Density-Neutron,16.1,22.8,4.99,0.86
3455.04,3548.57,93.53,15.50,36.1,Density-Neutron,5.8,0.07,0.06,0.05
2832.81,2970.26,137.45,120.72,37.6,Sonic,13.0,,,
3063.91,3069.89,5.98,4.48,29.3,Sonic,11.1,,,
1443.46,1561.82,118.36,118.36,10.8,Density-Neutron,19.3,496,141,31.8
2169.17,2252.22,83.05,80.28,15.4,Density,19.3,,,
2740.69,2748.25,7.57,7.14,30.8,Density-Neutron,6.9,,,
3017.77,3030.18,12.40,6.77,30.6,Density-Neutron,7.5,,,
3463.18,3573.14,109.96,92.27,33.2,Sonic,14.0,2.58,2.13,1.81
3619.63,3710.12,90.49,6.90,42.2,Sonic,4.6,0.36,0.33,0.30
2662.90,2669.39,6.49,5.93,32.0,Density-Neutron,7.4,,,
3067.55,3203.05,135.50,131.45,20.0,Density,13.6,,,
2091.77,2094.77,3.00,1.10,44.1,Density-Neutron,13.3,,,
3053.41,3097.41,44.00,43.70,34.9,Sonic,8.0,,,
2274.45,2282.45,8.00,5.40,38.2,Density,12.1,,,
1648.36,1774.19,125.83,125.48,21.1,Density,10.4,,,
3214.26,3309.41,95.14,88.82,27.2,Density-Neutron,18.7,1.98,0.92,0.32
3323.45,3415.98,92.53,88.74,14.7,Density-Neutron,22.4,10.4,3.04,0.58
3995.18,4108.39,113.21,90.19,20.4,Density-Neutron,13.4,1.85,0.68,0.24
4132.59,4207.15,74.56,32.22,29.1,Density-Neutron,5.8,0.07,0.06,0.05
4032.11,4139.03,106.91,92.84,12.7,Sonic,12.0,0.56,0.41,0.27
4171.16,4236.51,65.36,30.15,22.7,Sonic,3.2,0.14,0.11,0.09
2639.12,2772.84,133.72,128.13,35.5,Density,16.8,,,
2863.12,2887.43,24.31,14.63,35.3,Sonic,6.9,,,
3671.53,3783.10,111.57,97.07,19.9,Density-Neutron,17.6,29.3,5.53,0.46
3819.59,3909.86,90.27,23.81,35.4,Density-Neutron,8.2,0.20,0.13,0.08
2496.82,2703.03,206.21,206.17,22.8,Density-Neutron,10.7,,,
2433.79,2486.39,52.60,52.55,14.7,Density-Neutron,8.2,,,
2723.04,2841.52,118.48,114.20,19.9,Density-Neutron,20.3,,,
2870.68,2929.75,59.08,19.60,25.7,Density-Neutron,16.4,,,
2473.66,2572.41,98.75,90.97,27.1,Sonic,19.0,,,
2596.37,2627.33,30.96,30.71,17.4,Sonic,17.9,,,
1085.65,1104.15,18.50,17.90,21.9,Density-Neutron,26.0,,,
2612.44,2624.12,11.68,5.94,33.8,Density-Neutron,6.3,,,
1408.78,1419.77,11.00,10.85,22.0,Sonic,9.8,,,
2532.53,2617.48,84.95,83.19,11.6,Density-Neutron,21.1,,,
2633.26,2675.82,42.55,40.69,10.7,Density-Neutron,20.4,,,
1999.14,2074.08,74.94,74.94,21.5,Density-Neutron,20.0,314,215,119
2733.27,2754.95,21.68,21.10,23.2,Sonic,11.1,,,
2090.06,2199.24,129.09,109.05,12.1,Sonic,13.7,,,
2369.04,2379.48,10.44,9.92,30.0,Density-Neutron,5.7,,,
2458.02,2610.98,152.95,149.16,24.1,Sonic,19.8,,,
2405.07,2528.66,123.59,122.41,14.3,Density-Neutron,18.3,,,
2765.64,2777.01,11.37,11.04,16.6,Density-Neutron,4.6,,,
3317.95,3343.93,25.99,25.89,27.7,Sonic,5.7,,,
1901.28,2125.28,224.00,223.75,16.3,Density-Neutron,23.3,,,
3615.05,3715.38,100.33,93.06,28.9,Density-Neutron,16.7,3.63,2.06,1.23
3748.79,3821.39,72.60,53.09,23.4,Density-Neutron,9.7,0.62,0.23,0.13
2337.80,2441.80,104.00,102.85,36.6,Density-Neutron,18.2,,,
2463.80,2472.80,9.00,7.20,33.6,Sonic,9.0,,,
