"T_s","dp_Pa","T_K","p_inj_Pa","p_out_Pa"
0.0,7.113354662068158e7,353.15,5.454091294077927e7,-1.6592633679902315e7
912579.6417248202,7.113354662068158e7,353.1500000000016,5.454091294077927e7,-1.6592633679902315e7
1.8251592834496405e6,7.303336179172477e7,353.1500000000025,5.642735147283149e7,-1.6606010318893282e7
2.7377389251744607e6,7.373366779559694e7,353.1500000000026,5.711317033851017e7,-1.662049745708677e7
3.650318566899281e6,7.4093210185999e7,353.150000000003,5.745748609521025e7,-1.6635724090788761e7
4.562898208624101e6,7.43402029786724e7,353.1500000000028,5.7688650857728414e7,-1.665155212094398e7
5.4754778503489215e6,7.453688553471221e7,353.15000000000254,5.7869100683690146e7,-1.6667784851022065e7
6.388057492073742e6,7.470336937942573e7,353.1500000000029,5.801907761277564e7,-1.668429176665009e7
7.300637133798562e6,7.484838887412725e7,353.15000000000225,5.814739313960274e7,-1.670099573452451e7
8.213216775523383e6,7.497689534133661e7,353.15000000000197,5.825904482128875e7,-1.6717850520047853e7
9.125796417248202e6,7.509221543754452e7,353.1500000000016,5.835738772530501e7,-1.6734827712239513e7
1.0038376058973022e7,7.519678241252872e7,353.15000000000117,5.844487307196255e7,-1.675190934056618e7
1.0950955700697843e7,7.529244999317718e7,353.1500000000007,5.85233657988017e7,-1.6769084194375472e7
1.1863535342422664e7,7.53806620863741e7,353.1500000000011,5.859431666157978e7,-1.6786345424794324e7
1.2776114984147483e7,7.546256051893269e7,353.1500000000015,5.865887157687146e7,-1.6803688942061223e7
1.3688694625872303e7,7.553905951283298e7,353.1500000000019,5.8717947152185425e7,-1.682111236064756e7
1.4601274267597124e7,7.561089388008326e7,353.15000000000197,5.877228046905536e7,-1.68386134110279e7
1.5513853909321945e7,7.567866857157695e7,353.1500000000015,5.882247788763689e7,-1.6856190683940064e7
1.6426433551046766e7,7.574288370736995e7,353.1500000000017,5.886904017308799e7,-1.687384353428197e7
1.7339013192771584e7,7.580395676824653e7,353.15000000000185,5.891238523021728e7,-1.689157153802925e7
1.8251592834496405e7,7.586223936505128e7,353.1500000000016,5.8952864985847086e7,-1.6909374379204195e7
1.9164172476221226e7,7.591803007914677e7,353.1500000000022,5.899077829724853e7,-1.6927251781898238e7
2.0076752117946044e7,7.597158439066532e7,353.1500000000016,5.902638091908478e7,-1.694520347158055e7
2.0989331759670865e7,7.602312243088482e7,353.15000000000225,5.905989327290919e7,-1.6963229157975633e7
2.1901911401395686e7,7.60728350949128e7,353.15000000000225,5.9091506566323586e7,-1.6981328528589208e7
2.2814491043120507e7,7.612088890549433e7,353.15000000000185,5.912138765390875e7,-1.6999501251585577e7
2.372707068484533e7,7.61674296674834e7,353.1500000000025,5.914968279259183e7,-1.701774687489157e7
2.463965032657015e7,7.621258602877513e7,353.15000000000197,5.9176520982752286e7,-1.7036065046022844e7
2.5552229968294967e7,7.625647192141132e7,353.1500000000008,5.920201652969618e7,-1.705445539171514e7
2.646480961001979e7,7.62991886707459e7,353.1500000000007,5.922627113007404e7,-1.707291754067185e7
2.9111290571021765e7,7.641364781121054e7,353.1500000000014,5.928655990240191e7,-1.712708790880863e7
3.6360347116375014e7,7.668356176619135e7,353.1499999993432,5.940741695752326e7,-1.727614480866809e7
4.3609403661728255e7,7.693140041493605e7,353.14999998975253,5.950250718653539e7,-1.742889322840066e7
5.0858460207081504e7,7.716368386961932e7,353.1499999164356,5.957719873107485e7,-1.758648513854448e7
5.810751675243475e7,7.73849481725947e7,353.1499995247724,5.963631120276175e7,-1.7748636969832957e7
6.5356573297788e7,7.759846261509901e7,353.1499978863159,5.968328370162601e7,-1.7915178913473006e7
7.260562984314124e7,7.780662096543023e7,353.14999217697,5.972062654939106e7,-1.8085994416039173e7
7.985468638849449e7,7.801122115118362e7,353.1499749554204,5.9750223665586255e7,-1.8260997485597365e7
8.710374293384773e7,7.821363722601613e7,353.14992879686974,5.977351961489851e7,-1.8440117611117624e7
9.435279947920099e7,7.841493901637083e7,353.14981677001794,5.979164450305797e7,-1.8623294513312865e7
1.0160185602455424e8,7.861597639147525e7,353.1495670487934,5.980549862080984e7,-1.8810477770665407e7
1.0885091256990747e8,7.881744040575328e7,353.149050087596,5.981581104794653e7,-1.900162935780676e7
1.1609996911526072e8,7.901991034262101e7,353.1480473908176,5.982318099468758e7,-1.9196729347933434e7
1.2334902566061395e8,7.922389189596562e7,353.1462120154876,5.982810875702424e7,-1.9395783138941374e7
1.3059808220596723e8,7.942984916987476e7,353.1430224714493,5.983101812409517e7,-1.9598831045779582e7
1.3784713875132045e8,7.963823088585763e7,353.13773340123663,5.9832273234836206e7,-1.9805957651021425e7
1.4509619529667372e8,7.984949354944715e7,353.1293280001941,5.983219212710139e7,-2.001730142234575e7
1.5234525184202698e8,8.00641188591324e7,353.11647820970995,5.983105707474278e7,-2.023306178438962e7
1.595943083873802e8,8.028262632589403e7,353.0975189692239,5.9829121753777504e7,-2.0453504572116524e7
1.6684336493273345e8,8.050558138300323e7,353.0704420706187,5.982661804857085e7,-2.067896333443239e7
1.7409242147808668e8,8.073359430628008e7,353.03291344141087,5.9823759040411405e7,-2.090983526586868e7
1.8134147802343994e8,8.096731954269296e7,352.98231521445535,5.9820741897643894e7,-2.1146577645049058e7
1.8859053456879318e8,8.120744335780053e7,352.91581111420976,5.981775066033311e7,-2.138969269746742e7
1.958395911141464e8,8.14546739053995e7,352.83043095757324,5.9814952492055416e7,-2.163972141334409e7
2.0308864765949968e8,8.17097267315833e7,352.7231678990497,5.98125037408232e7,-2.189722299076009e7
2.103377042048529e8,8.197330826472296e7,352.59108074326923,5.981054249037195e7,-2.2162765774351005e7
2.1758676075020617e8,8.224610350019033e7,352.4313933872459,5.980919186440341e7,-2.243691163578692e7
2.2483581729555944e8,8.252876130827886e7,352.24158420375613,5.980855922152847e7,-2.272020208675038e7
2.3208487384091267e8,8.282188424424009e7,352.0194596907307,5.980873091793417e7,-2.3013153326305915e7
2.393339303862659e8,8.312601752530234e7,351.76320882557656,5.980977944091622e7,-2.3316238084386118e7
2.4658298693161917e8,8.344164696471015e7,351.47143669793195,5.9811756331369996e7,-2.3629890633340143e7
2.538320434769724e8,8.376918550771561e7,351.1431782030243,5.981469741202419e7,-2.395448809569142e7
2.6108110002232566e8,8.410897764977992e7,350.77789411014254,5.981862217140497e7,-2.429035547837495e7
2.6833015656767887e8,8.446129022777115e7,350.37545318757395,5.982353528836092e7,-2.4637754939410225e7
2.7557921311303216e8,8.482631078368309e7,349.93610440399044,5.982942741055979e7,-2.4996883373123303e7
2.828282696583854e8,8.520414419526629e7,349.4604435059534,5.983627846647539e7,-2.53678657287909e7
2.900773262037387e8,8.559480787676609e7,348.9493776108206,5.9844057085197255e7,-2.575075079156883e7
2.9732638274909186e8,8.599822493624793e7,348.4040909486404,5.9852723843805194e7,-2.6145501092442732e7
3.0457543929444516e8,8.641421887901227e7,347.8260138133722,5.9862231851963185e7,-2.6551987027049083e7
3.1182449583979833e8,8.684250509839493e7,347.2167959915894,5.987252773730876e7,-2.696997736108617e7
3.190735523851516e8,8.728268030459322e7,346.57828504531847,5.988355327159778e7,-2.7399127032995444e7
3.2632260893050486e8,8.773421636686866e7,345.912509040357,5.989524551665843e7,-2.7838970850210227e7
3.335716654758581e8,8.819644656140848e7,345.2216630716946,5.990753857523319e7,-2.8288907986175288e7
3.408207220212114e8,8.866856227680957e7,344.50809806091985,5.992036258882536e7,-2.8748199687984206e7
3.4806977856656456e8,8.91496021838021e7,343.7743109229656,5.993364659159786e7,-2.9215955592204235e7
3.5531883511191785e8,8.963845130680716e7,343.0229343948011,5.994731669315892e7,-2.969113461364824e7
3.625678916572711e8,9.013384227777031e7,342.2567253356038,5.996129820086869e7,-3.0172544076901626e7
3.698169482026243e8,9.063435845862183e7,341.47855070268724,5.997551592824626e7,-3.0658842530375574e7
3.770660047479776e8,9.113844857015248e7,340.69136987895786,5.998989367024148e7,-3.1148554899910994e7
3.8431506129333085e8,9.164444180676487e7,339.89821303323674,6.000435662190477e7,-3.1640085184860095e7
3.915641178386841e8,9.215057155413511e7,339.102155235034,6.001883088245377e7,-3.2131740671681345e7
3.988131743840374e8,9.265500610633042e7,338.30628590054266,6.0033244039191686e7,-3.2621762067138735e7
4.0606223092939055e8,9.315588031633899e7,337.5136742059909,6.0047527113029465e7,-3.3108353203309517e7
4.1331128747474384e8,9.365133473315269e7,336.7273308862934,6.006161415051069e7,-3.3589720582642e7
4.205603440200971e8,9.413955429004663e7,335.9501674892578,6.0075443409935296e7,-3.406411088011134e7
4.278094005654503e8,9.461880709348771e7,335.18495448927166,6.008895834075177e7,-3.4529848752735935e7
4.350584571108036e8,9.508748123799583e7,334.4342800445373,6.010210813144015e7,-3.498537310655569e7
4.423075136561568e8,9.55441185267698e7,333.70051127185985,6.011484805538385e7,-3.542927047138595e7
4.495565702015101e8,9.598744175171313e7,332.98576010850627,6.012714007184501e7,-3.586030167986812e7
4.5680562674686325e8,9.641637531038257e7,332.29185564408766,6.0138953060902454e7,-3.627742224948013e7
4.6405468329221654e8,9.683005798411313e7,331.6203244662067,6.0150262979150884e7,-3.667979500496225e7
4.713037398375698e8,9.722784768677083e7,330.97238006397356,6.016105278981307e7,-3.706679489695775e7
4.7855279638292307e8,9.760931879377636e7,330.34892165547313,6.0171312100474104e7,-3.743800669330225e7
4.858018529282763e8,9.797425229478724e7,329.75054217222026,6.0181036797635145e7,-3.77932154971521e7
4.9305090947362953e8,9.832262017655498e7,329.17754453053067,6.01902284909599e7,-3.813239168559508e7
5.002999660189828e8,9.865456537581035e7,328.62996481077573,6.019889386113502e7,-3.845567151467534e7
5.07549022564336e8,9.897031771906611e7,328.107726101335,6.020704101278939e7,-3.876327670627673e7
5.1479807910968924e8,9.927031204906283e7,327.610390115985,6.021468564178981e7,-3.9055626407273024e7
5.220471356550426e8,9.9555099343247e7,327.1372878236363,6.0221847232163005e7,-3.9333252111083984e7
5.2929619220039576e8,9.982528957817088e7,326.6876348943066,6.022854661186641e7,-3.959674296630447e7
